Engineer's Studio Result
*,Node,Name,ëOÊ‰-005
*,,LoadSet,Transration,Step,DX,DY,DZ,RX,RY,RZ,RelAccX,RelAccY,RelAccZ,AbsAccX,AbsAccY,AbsAccZ,VX,VY,VZ
,,,,5,1.9451104E-019,6.2049745E-017,-3.2771207E-002,-3.5556214E-020,2.3434588E-024,9.6426133E-005,---,---,---,---,---,---,---,---,---
,,,,6,4.3084336E-019,8.6847025E-017,-3.7466628E-002,-5.0689832E-020,5.0258828E-024,1.1798830E-004,---,---,---,---,---,---,---,---,---
,,,,7,8.2077029E-019,1.2241004E-016,-4.0382271E-002,-5.1412087E-020,9.2659638E-024,8.6461597E-005,---,---,---,---,---,---,---,---,---
,,,,8,1.4736140E-018,1.7536510E-016,-4.1366902E-002,-4.2382466E-020,1.7283610E-023,3.4893880E-005,---,---,---,---,---,---,---,---,---
,,,,9,2.5792453E-018,2.5790787E-016,-4.1651469E-002,-5.1495035E-020,3.3989537E-023,1.3006671E-005,---,---,---,---,---,---,---,---,---
,,,,10,4.4923724E-018,3.9556480E-016,-4.0370243E-002,-1.4241661E-020,6.5038831E-023,-5.1063711E-005,---,---,---,---,---,---,---,---,---
*,,,,Max Value,-3.3038663E-020,8.3337341E-018,-7.9918017E-003,-2.5472635E-020,1.7540057E-025,1.1798830E-004,---,---,---,---,---,---,---,---,---
*,,,,Max Step,1,1,1,1,1,6,---,---,---,---,---,---,---,---,---
*,,,,Min Value,-3.3038663E-020,8.3337341E-018,-4.1651469E-002,-2.5472635E-020,1.7540057E-025,-5.1063711E-005,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,1,9,1,1,10,---,---,---,---,---,---,---,---,---
*,Node,Name,ñÓî¬-038
*,,LoadSet,Transration,Step,DX,DY,DZ,RX,RY,RZ,RelAccX,RelAccY,RelAccZ,AbsAccX,AbsAccY,AbsAccZ,VX,VY,VZ
,,,,1,3.9933471E-002,-3.4866732E-003,-1.9708197E-020,2.8201164E-007,-1.0882731E-005,-5.2426471E-021,---,---,---,---,---,---,---,---,---
,,,,2,7.9773250E-002,-6.9455344E-003,-2.3969566E-020,5.6041012E-007,-1.1560749E-005,-6.8817985E-021,---,---,---,---,---,---,---,---,---
,,,,3,1.1606834E-001,-1.0505200E-002,-8.3888809E-021,1.1193890E-006,-1.1025596E-005,-1.0173804E-020,---,---,---,---,---,---,---,---,---
,,,,4,1.5220857E-001,-1.4029413E-002,3.4867709E-020,1.5090384E-006,-1.1464918E-005,-1.3773840E-020,---,---,---,---,---,---,---,---,---
,,,,5,1.8539869E-001,-1.7615864E-002,1.1724156E-019,2.2696072E-006,-1.0234412E-005,-2.0587816E-020,---,---,---,---,---,---,---,---,---
,,,,6,2.1902177E-001,-2.1161660E-002,2.5926165E-019,2.6612627E-006,-1.0844118E-005,-2.9393225E-020,---,---,---,---,---,---,---,---,---
,,,,7,2.4909791E-001,-2.4778974E-002,4.9359391E-019,3.7539193E-006,-8.2519619E-006,-4.7870746E-020,---,---,---,---,---,---,---,---,---
,,,,8,2.7479361E-001,-2.8432468E-002,8.8600625E-019,5.2214271E-006,-4.4702971E-006,-8.1186897E-020,---,---,---,---,---,---,---,---,---
,,,,9,2.9959861E-001,-3.2051028E-002,1.5506765E-018,6.1234410E-006,-2.8673063E-006,-1.3494724E-019,---,---,---,---,---,---,---,---,---
,,,,10,3.2156355E-001,-3.5706898E-002,2.7010024E-018,7.5845317E-006,1.4519511E-006,-2.4572555E-019,---,---,---,---,---,---,---,---,---
*,,,,Max Value,3.2156355E-001,-3.4866732E-003,-1.9708197E-020,7.5845317E-006,1.4519511E-006,-5.2426471E-021,---,---,---,---,---,---,---,---,---
*,,,,Max Step,10,1,1,10,10,1,---,---,---,---,---,---,---,---,---
*,,,,Min Value,3.9933471E-002,-3.5706898E-002,-1.9708197E-020,2.8201164E-007,-1.0882731E-005,-5.2426471E-021,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,10,1,1,1,1,---,---,---,---,---,---,---,---,---
*,,,Rotation,Step,SX,SY,SZ,RMX,RMY,RMZ,RelAccRX,RelAccRY,RelAccRZ,AbsAccRX,AbsAccRY,AbsAccRZ,VRX,VRY,VRZ
