Engineer's Studio Result
*,Node,Name,ëOÊ‰-005
*,,LoadSet,Transration,Step,DX,DY,DZ,RX,RY,RZ,RelAccX,RelAccY,RelAccZ,AbsAccX,AbsAccY,AbsAccZ,VX,VY,VZ
,,,,6,-1.1989679E+001,2.6481214E+000,1.8088301E-019,---,-1.2199111E-017,-2.4713309E+000,0.0000000E+000,2.6406249E-003,0.0000000E+000,-1.3887052E-019,-9.1835496E-038,3.1111893E-002
,,,,7,-1.3460581E+001,3.1755893E+000,2.7054490E-019,---,-1.9245909E-017,-2.9603965E+000,0.0000000E+000,2.9641212E-003,-1.1754944E-035,-2.1907203E-019,0.0000000E+000,3.7272348E-002
,,,,8,-1.4782564E+001,3.7554870E+000,3.9281908E-019,---,-3.0508697E-017,-3.4967215E+000,0.0000000E+000,3.2546905E-003,0.0000000E+000,-3.4723294E-019,0.0000000E+000,4.4029592E-002
,,,,9,-1.5986105E+001,4.3561134E+000,5.6556257E-019,---,-4.9067600E-017,-4.0568275E+000,0.0000000E+000,3.5190710E-003,4.7019774E-035,-5.5838468E-019,-3.6734198E-037,5.1080711E-002
,,,,10,-1.6827168E+001,4.9931874E+000,8.4133274E-019,---,-8.0964716E-017,-4.6472998E+000,0.0000000E+000,3.7033049E-003,4.7019774E-035,-9.2126645E-019,-1.4693679E-036,5.8518424E-002
*,,,,Max Value,-2.2534261E+000,4.9931874E+000,-5.5940448E-020,---,-4.9746497E-019,-3.7143233E-001,0.0000000E+000,3.7033049E-003,3.6734198E-037,-5.5910012E-021,0.0000000E+000,5.8518424E-002
*,,,,Max Step,1,10,1,---,1,1,1,10,1,1,1,10
*,,,,Min Value,-1.6827168E+001,3.9624292E-001,-5.5940448E-020,---,-4.9746497E-019,-4.6472998E+000,0.0000000E+000,4.9651914E-004,3.6734198E-037,-5.5910012E-021,0.0000000E+000,4.6741816E-003
*,,,,Min Step,10,1,1,---,1,10,1,1,1,1,1,1
*,Element,Name,HçY1-029
*,,LoadSet,i-node,Step,N,SYP,SZP,T,MYP,MZP,DX,DY,DZ,SX,SY,SZ
,,,,1,-2.2535048E+000,3.4849021E-001,6.1414966E-021,---,-4.8219982E-019,-3.7142634E-001,0.0000000E+000,0.0000000E+000,0.0000000E+000,5.4740908E-021,-1.7936620E-040,-3.8275903E-003
,,,,2,-4.4519978E+000,6.9713777E-001,3.9091564E-020,---,-1.3133686E-018,-7.4278617E-001,0.0000000E+000,0.0000000E+000,0.0000000E+000,1.4884371E-020,0.0000000E+000,-7.6542456E-003
,,,,3,-6.4555597E+000,1.0866929E+000,8.5813830E-020,---,-2.6245643E-018,-1.1568526E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,2.9735367E-020,0.0000000E+000,-1.1919840E-002
,,,,4,-8.4368982E+000,1.4780941E+000,1.5177184E-019,---,-4.6132926E-018,-1.5733285E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,5.2265881E-020,-5.7397185E-039,-1.6210723E-002
,,,,5,-1.0231544E+001,1.9036403E+000,2.4543235E-019,---,-7.6063393E-018,-2.0255663E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,8.6180801E-020,1.1479437E-038,-2.0869293E-002
,,,,6,-1.1989664E+001,2.3233042E+000,3.8105414E-019,---,-1.2135794E-017,-2.4712946E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,1.3751207E-019,4.5917748E-038,-2.5460557E-002
,,,,7,-1.3460528E+001,2.7844222E+000,5.7785633E-019,---,-1.9146811E-017,-2.9603527E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,2.1698123E-019,4.5917748E-038,-3.0497224E-002
,,,,8,-1.4782460E+001,3.2905624E+000,8.7945553E-019,---,-3.0348853E-017,-3.4966695E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,3.4396984E-019,-9.1835496E-038,-3.6019894E-002
,,,,9,-1.5985929E+001,3.8153327E+000,1.3238463E-018,---,-4.8798921E-017,-4.0567665E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,5.5318304E-019,-1.8367099E-037,-4.1791689E-002
,,,,10,-1.6826889E+001,4.3709903E+000,2.1185816E-018,---,-8.0513287E-017,-4.6472340E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,9.1277068E-019,0.0000000E+000,-4.7873596E-002
*,,,,Max Value,-2.2535048E+000,4.3709903E+000,6.1414966E-021,---,-4.8219982E-019,-3.7142634E-001,0.0000000E+000,0.0000000E+000,0.0000000E+000,5.4740908E-021,-1.7936620E-040,-3.8275903E-003
*,,,,Max Step,1,10,1,---,1,1,1,1,1,1,1,1
*,,,,Min Value,-1.6826889E+001,3.4849021E-001,6.1414966E-021,---,-4.8219982E-019,-4.6472340E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,5.4740908E-021,-1.7936620E-040,-4.7873596E-002
*,,,,Min Step,10,1,1,---,1,10,1,1,1,1,1,10
*,,,j-node,Step,N,SYP,SZP,T,MYP,MZP,DX,DY,DZ,SX,SY,SZ
,,,,1,-2.2691758E+000,3.4222180E-001,6.1414966E-021,---,-4.8035738E-019,-2.6781955E-001,6.3523335E-018,5.0000153E-004,9.7345626E-036,-5.4671098E-021,1.7936620E-040,3.4350307E-003
,,,,2,-4.4833398E+000,6.8460095E-001,3.9091564E-020,---,-1.3016412E-018,-5.3552538E-001,1.2704667E-017,9.8783948E-004,2.6448623E-035,-1.4839936E-020,0.0000000E+000,6.8689478E-003
,,,,3,-6.5025725E+000,1.0678877E+000,8.5813830E-020,---,-2.5988201E-018,-8.3366555E-001,1.9480517E-017,1.4325765E-003,5.4366614E-035,-2.9637823E-020,0.0000000E+000,1.0695305E-002
,,,,4,-8.4995823E+000,1.4530205E+000,1.5177184E-019,---,-4.5677608E-018,-1.1336613E+000,2.5409334E-017,1.8723998E-003,9.4039548E-035,-5.2093364E-020,5.7397185E-039,1.4544853E-002
,,,,5,-1.0309899E+001,1.8722981E+000,2.4543235E-019,---,-7.5327095E-018,-1.4591756E+000,3.3032217E-017,2.2709439E-003,1.5575300E-034,-8.5901822E-020,-1.1479437E-038,1.8723276E-002
,,,,6,-1.2083691E+001,2.2856936E+000,3.8105414E-019,---,-1.2021478E-017,-1.7799449E+000,4.0655100E-017,2.6614116E-003,2.5860876E-034,-1.3707893E-019,-4.5917748E-038,2.2841077E-002
,,,,7,-1.3570226E+001,2.7405431E+000,5.7785633E-019,---,-1.8973454E-017,-2.1316080E+000,4.7430950E-017,2.9883647E-003,3.7615819E-034,-2.1632439E-019,-4.5917748E-038,2.7357164E-002
,,,,8,-1.4907828E+001,3.2404151E+000,8.7945553E-019,---,-3.0085015E-017,-2.5170231E+000,5.9288998E-017,3.2823873E-003,6.2301201E-034,-3.4297017E-019,9.1835496E-038,3.2308079E-002
,,,,9,-1.6126968E+001,3.7589169E+000,1.3238463E-018,---,-4.8401765E-017,-2.9206290E+000,6.7758913E-017,3.5502171E-003,9.8741525E-034,-5.5167822E-019,1.8367099E-037,3.7486938E-002
,,,,10,-1.6983601E+001,4.3083062E+000,2.1185816E-018,---,-7.9877715E-017,-3.3453395E+000,7.7922895E-017,3.7378932E-003,1.6927119E-033,-9.1036255E-019,0.0000000E+000,4.2940803E-002
*,,,,Max Value,-2.2691758E+000,4.3083062E+000,6.1414966E-021,---,-4.8035738E-019,-2.6781955E-001,6.3523335E-018,3.7378932E-003,9.7345626E-036,-5.4671098E-021,1.7936620E-040,4.2940803E-002
*,,,,Max Step,1,10,1,---,1,1,1,10,1,1,1,10
*,,,,Min Value,-1.6983601E+001,3.4222180E-001,6.1414966E-021,---,-4.8035738E-019,-3.3453395E+000,6.3523335E-018,5.0000153E-004,9.7345626E-036,-5.4671098E-021,1.7936620E-040,3.4350307E-003
*,,,,Min Step,10,1,1,---,1,10,1,1,1,1,1,1
*,Element,Name,HçY1-030
*,,LoadSet,i-node,Step,N,SYP,SZP,T,MYP,MZP,DX,DY,DZ,SX,SY,SZ
,,,,1,-2.2691717E+000,2.9315719E-001,5.0973939E-020,---,-4.8119774E-019,-2.6782000E-001,0.0000000E+000,0.0000000E+000,0.0000000E+000,5.4117400E-021,-8.9683102E-041,-2.7128131E-003
,,,,2,-4.4833312E+000,5.8641982E-001,9.0042578E-020,---,-1.3020490E-018,-5.3552634E-001,0.0000000E+000,0.0000000E+000,0.0000000E+000,1.4697788E-020,0.0000000E+000,-5.4242141E-003
,,,,3,-6.5025530E+000,9.1376138E-001,1.5269514E-019,---,-2.5990350E-018,-8.3366764E-001,0.0000000E+000,0.0000000E+000,0.0000000E+000,2.9369159E-020,0.0000000E+000,-8.4428266E-003
,,,,4,-8.4995489E+000,1.2427285E+000,2.3259342E-019,---,-4.5661098E-018,-1.1336639E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,5.1637696E-020,5.7397185E-039,-1.1480677E-002
,,,,5,-1.0309845E+001,1.6001627E+000,3.5617164E-019,---,-7.5290749E-018,-1.4591795E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,8.5176676E-020,0.0000000E+000,-1.4776242E-002
,,,,6,-1.2083611E+001,1.9526447E+000,5.2240162E-019,---,-1.2012859E-017,-1.7799495E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,1.3595402E-019,0.0000000E+000,-1.8023495E-002
,,,,7,-1.3570108E+001,2.3396704E+000,7.9437427E-019,---,-1.8958614E-017,-2.1316147E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,2.1459594E-019,4.5917748E-038,-2.1582660E-002
,,,,8,-1.4907664E+001,2.7642415E+000,1.2219064E-018,---,-3.0058800E-017,-2.5170319E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,3.4028362E-019,9.1835496E-038,-2.5482803E-002
,,,,9,-1.6126755E+001,3.2050335E+000,1.8585888E-018,---,-4.8342010E-017,-2.9206362E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,5.4738157E-019,-1.8367099E-037,-2.9571236E-002
,,,,10,-1.6983315E+001,3.6712449E+000,3.0181786E-018,---,-7.9777414E-017,-3.3453500E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,9.0338362E-019,3.6734198E-037,-3.3870721E-002
*,,,,Max Value,-2.2691717E+000,3.6712449E+000,5.0973939E-020,---,-4.8119774E-019,-2.6782000E-001,0.0000000E+000,0.0000000E+000,0.0000000E+000,5.4117400E-021,-8.9683102E-041,-2.7128131E-003
*,,,,Max Step,1,10,1,---,1,1,1,1,1,1,1,1
*,,,,Min Value,-1.6983315E+001,2.9315719E-001,5.0973939E-020,---,-4.8119774E-019,-3.3453500E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,5.4117400E-021,-8.9683102E-041,-3.3870721E-002
*,,,,Min Step,10,1,1,---,1,10,1,1,1,1,1,10
*,,,j-node,Step,N,SYP,SZP,T,MYP,MZP,DX,DY,DZ,SX,SY,SZ
,,,,1,-2.2848427E+000,2.8688875E-001,5.0973939E-020,---,-4.6590555E-019,-1.8081312E-001,-1.0587912E-019,5.0346563E-004,3.6734198E-037,-5.3537986E-021,8.9683102E-041,2.3831496E-003
,,,,2,-4.5146732E+000,5.7388300E-001,9.0042578E-020,---,-1.2750363E-018,-3.6148092E-001,2.1175824E-019,9.9476767E-004,0.0000000E+000,-1.4595438E-020,0.0000000E+000,4.7647673E-003
,,,,3,-6.5495663E+000,8.9495611E-001,1.5269514E-019,---,-2.5532263E-018,-5.6235999E-001,4.2351647E-019,1.4429672E-003,0.0000000E+000,-2.9195594E-020,0.0000000E+000,7.4148597E-003
,,,,4,-8.5622339E+000,1.2176548E+000,2.3259342E-019,---,-4.4963317E-018,-7.6460642E-001,8.4703295E-019,1.8862526E-003,2.9387359E-036,-5.1373311E-020,-5.7397185E-039,1.0082342E-002
,,,,5,-1.0388200E+001,1.5688206E+000,3.5617164E-019,---,-7.4222238E-018,-9.8383200E-001,0.0000000E+000,2.2882568E-003,2.9387359E-036,-8.4771820E-020,0.0000000E+000,1.2975182E-002
,,,,6,-1.2177636E+001,1.9150343E+000,5.2240162E-019,---,-1.1856139E-017,-1.1997977E+000,0.0000000E+000,2.6821838E-003,0.0000000E+000,-1.3536021E-019,0.0000000E+000,1.5825337E-002
,,,,7,-1.3679806E+001,2.2957916E+000,7.9437427E-019,---,-1.8720303E-017,-1.4362954E+000,-8.4703295E-019,3.0125937E-003,-1.1754944E-035,-2.1369298E-019,-4.5917748E-038,1.8948140E-002
,,,,8,-1.5033032E+001,2.7140942E+000,1.2219064E-018,---,-2.9692230E-017,-1.6952816E+000,0.0000000E+000,3.3100712E-003,2.3509887E-035,-3.3889470E-019,-9.1835496E-038,2.2369244E-002
,,,,9,-1.6267794E+001,3.1486177E+000,1.8585888E-018,---,-4.7784434E-017,-1.9675885E+000,-1.6940659E-018,3.5813548E-003,-2.3509887E-035,-5.4526899E-019,1.8367099E-037,2.5960200E-002
,,,,10,-1.7140024E+001,3.6085608E+000,3.0181786E-018,---,-7.8871956E-017,-2.2533791E+000,0.0000000E+000,3.7724799E-003,-4.7019774E-035,-8.9995292E-019,-3.6734198E-037,2.9733315E-002
*,,,,Max Value,-2.2848427E+000,3.6085608E+000,5.0973939E-020,---,-4.6590555E-019,-1.8081312E-001,-1.0587912E-019,3.7724799E-003,3.6734198E-037,-5.3537986E-021,8.9683102E-041,2.9733315E-002
*,,,,Max Step,1,10,1,---,1,1,1,10,1,1,1,10
*,,,,Min Value,-1.7140024E+001,2.8688875E-001,5.0973939E-020,---,-4.6590555E-019,-2.2533791E+000,-1.0587912E-019,5.0346563E-004,3.6734198E-037,-5.3537986E-021,8.9683102E-041,2.3831496E-003
*,,,,Min Step,10,1,1,---,1,10,1,1,1,1,1,1
*,Element,Name,HçY1-031
*,,LoadSet,i-node,Step,N,SYP,SZP,T,MYP,MZP,DX,DY,DZ,SX,SY,SZ
,,,,1,-2.2848108E+000,2.3962973E-001,8.1309308E-020,---,-4.7808909E-019,-1.8081814E-001,0.0000000E+000,0.0000000E+000,0.0000000E+000,5.3419227E-021,3.5873241E-040,-1.7847235E-003
,,,,2,-4.5146394E+000,4.7932085E-001,1.2438540E-019,---,-1.2884561E-018,-3.6149091E-001,0.0000000E+000,0.0000000E+000,0.0000000E+000,1.4504243E-020,-3.5873241E-040,-3.5677247E-003
,,,,3,-6.5495191E+000,7.4656868E-001,1.9745712E-019,---,-2.5707531E-018,-5.6237674E-001,0.0000000E+000,0.0000000E+000,0.0000000E+000,2.8996804E-020,1.4349296E-039,-5.5491605E-003
,,,,4,-8.5621796E+000,1.0152037E+000,2.8632242E-019,---,-4.5159996E-018,-7.6462823E-001,0.0000000E+000,0.0000000E+000,0.0000000E+000,5.1007033E-020,5.7397185E-039,-7.5445432E-003
,,,,5,-1.0388129E+001,1.3068763E+000,4.2927419E-019,---,-7.4482328E-018,-9.8386133E-001,0.0000000E+000,0.0000000E+000,0.0000000E+000,8.4174665E-020,3.4438311E-038,-9.7067659E-003
,,,,6,-1.2177554E+001,1.5944977E+000,6.1501602E-019,---,-1.1886054E-017,-1.1998317E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,1.3440737E-019,1.1479437E-038,-1.1836507E-002
,,,,7,-1.3679697E+001,1.9100608E+000,9.3582076E-019,---,-1.8764781E-017,-1.4363381E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,2.1223188E-019,-4.5917748E-038,-1.4167916E-002
,,,,8,-1.5032890E+001,2.2560163E+000,1.4453176E-018,---,-2.9760043E-017,-1.6953340E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,3.3663376E-019,0.0000000E+000,-1.6720411E-002
,,,,9,-1.6267622E+001,2.6156867E+000,2.2088016E-018,---,-4.7872165E-017,-1.9676450E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,5.4164285E-019,9.1835496E-038,-1.9408670E-002
,,,,10,-1.7139811E+001,2.9956460E+000,3.6065393E-018,---,-7.9019009E-017,-2.2534442E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,8.9409419E-019,5.5101298E-037,-2.2227181E-002
*,,,,Max Value,-2.2848108E+000,2.9956460E+000,8.1309308E-020,---,-4.7808909E-019,-1.8081814E-001,0.0000000E+000,0.0000000E+000,0.0000000E+000,5.3419227E-021,3.5873241E-040,-1.7847235E-003
*,,,,Max Step,1,10,1,---,1,1,1,1,1,1,1,1
*,,,,Min Value,-1.7139811E+001,2.3962973E-001,8.1309308E-020,---,-4.7808909E-019,-2.2534442E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,5.3419227E-021,3.5873241E-040,-2.2227181E-002
*,,,,Min Step,10,1,1,---,1,10,1,1,1,1,1,10
*,,,j-node,Step,N,SYP,SZP,T,MYP,MZP,DX,DY,DZ,SX,SY,SZ
,,,,1,-2.3004818E+000,2.3336132E-001,8.1309308E-020,---,-4.5369626E-019,-1.0986949E-001,-1.0587912E-019,5.0692358E-004,1.8367099E-037,-5.2495001E-021,-3.5873241E-040,1.5159037E-003
,,,,2,-4.5459814E+000,4.6678403E-001,1.2438540E-019,---,-1.2511405E-018,-2.1957518E-001,2.1175824E-019,1.0016901E-003,0.0000000E+000,-1.4362857E-020,3.5873241E-040,3.0300153E-003
,,,,3,-6.5965323E+000,7.2776341E-001,1.9745712E-019,---,-2.5115160E-018,-3.4122691E-001,0.0000000E+000,1.4533518E-003,0.0000000E+000,-2.8772357E-020,-1.4349296E-039,4.7112380E-003
,,,,4,-8.6248636E+000,9.9013001E-001,2.8632242E-019,---,-4.4301031E-018,-4.6382818E-001,0.0000000E+000,1.9001006E-003,2.9387359E-036,-5.0681574E-020,-5.7397185E-039,6.4048313E-003
,,,,5,-1.0466484E+001,1.2755343E+000,4.2927419E-019,---,-7.3194508E-018,-5.9649974E-001,-4.2351647E-019,2.3055659E-003,2.9387359E-036,-8.3686719E-020,-3.4438311E-038,8.2390779E-003
,,,,6,-1.2271581E+001,1.5568871E+000,6.1501602E-019,---,-1.1701548E-017,-7.2712398E-001,-8.4703295E-019,2.7029557E-003,5.8774718E-036,-1.3370830E-019,-1.1479437E-038,1.0045448E-002
,,,,7,-1.3789394E+001,1.8661819E+000,9.3582076E-019,---,-1.8484036E-017,-8.6990172E-001,-8.4703295E-019,3.0368246E-003,1.1754944E-035,-2.1116816E-019,4.5917748E-038,1.2021726E-002
,,,,8,-1.5158258E+001,2.2058690E+000,1.4453176E-018,---,-2.9326448E-017,-1.0260512E+000,-8.4703295E-019,3.3377596E-003,1.1754944E-035,-3.3499088E-019,0.0000000E+000,1.4184542E-002
,,,,9,-1.6408661E+001,2.5592711E+000,2.2088016E-018,---,-4.7209524E-017,-1.1914014E+000,8.4703295E-019,3.6125018E-003,0.0000000E+000,-5.3913218E-019,-9.1835496E-038,1.6467533E-002
,,,,10,-1.7296520E+001,2.9329619E+000,3.6065393E-018,---,-7.7937043E-017,-1.3641529E+000,0.0000000E+000,3.8070825E-003,4.7019774E-035,-8.8999474E-019,-5.5101298E-037,1.8857714E-002
*,,,,Max Value,-2.3004818E+000,2.9329619E+000,8.1309308E-020,---,-4.5369626E-019,-1.0986949E-001,-1.0587912E-019,3.8070825E-003,1.8367099E-037,-5.2495001E-021,-3.5873241E-040,1.8857714E-002
*,,,,Max Step,1,10,1,---,1,1,1,10,1,1,1,10
*,,,,Min Value,-1.7296520E+001,2.3336132E-001,8.1309308E-020,---,-4.5369626E-019,-1.3641529E+000,-1.0587912E-019,5.0692358E-004,1.8367099E-037,-5.2495001E-021,-3.5873241E-040,1.5159037E-003
*,,,,Min Step,10,1,1,---,1,10,1,1,1,1,1,1
*,Element,Name,HçY1-032
*,,LoadSet,i-node,Step,N,SYP,SZP,T,MYP,MZP,DX,DY,DZ,SX,SY,SZ
,,,,1,-2.3004506E+000,1.9002162E-001,9.9813733E-020,---,-4.7327020E-019,-1.0987756E-001,0.0000000E+000,0.0000000E+000,0.0000000E+000,5.2661139E-021,-8.9683102E-041,-1.0347443E-003
,,,,2,-4.5459495E+000,3.8006830E-001,1.4519638E-019,---,-1.2730401E-018,-2.1959119E-001,0.0000000E+000,0.0000000E+000,0.0000000E+000,1.4305357E-020,0.0000000E+000,-2.0675966E-003
,,,,3,-6.5964913E+000,5.9169406E-001,2.2425466E-019,---,-2.5403118E-018,-3.4125328E-001,0.0000000E+000,0.0000000E+000,0.0000000E+000,2.8620322E-020,2.8698593E-039,-3.2117364E-003
,,,,4,-8.6248207E+000,8.0446833E-001,3.1811293E-019,---,-4.4636742E-018,-4.6386275E-001,0.0000000E+000,0.0000000E+000,0.0000000E+000,5.0376124E-020,1.4349296E-039,-4.3653390E-003
,,,,5,-1.0466430E+001,1.0352993E+000,4.7199924E-019,---,-7.3647869E-018,-5.9654588E-001,0.0000000E+000,0.0000000E+000,0.0000000E+000,8.3177589E-020,-3.1568452E-038,-5.6129225E-003
,,,,6,-1.2271524E+001,1.2629139E+000,6.6843168E-019,---,-1.1756610E-017,-7.2717738E-001,0.0000000E+000,0.0000000E+000,0.0000000E+000,1.3287530E-019,8.0356059E-038,-6.8408417E-003
,,,,7,-1.3789324E+001,1.5124184E+000,1.0169947E-018,---,-1.8567197E-017,-8.6996835E-001,0.0000000E+000,0.0000000E+000,0.0000000E+000,2.0989372E-019,-2.2958874E-038,-8.1820936E-003
,,,,8,-1.5158169E+001,1.7857518E+000,1.5732784E-018,---,-2.9455558E-017,-1.0261322E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,3.3302729E-019,1.6071212E-037,-9.6482663E-003
,,,,9,-1.6408560E+001,2.0703521E+000,2.4110044E-018,---,-4.7393935E-017,-1.1914907E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,5.3597709E-019,-4.1325973E-037,-1.1206144E-002
,,,,10,-1.7296400E+001,2.3706071E+000,3.9455684E-018,---,-7.8245787E-017,-1.3642542E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,8.8491978E-019,4.5917748E-037,-1.2830402E-002
*,,,,Max Value,-2.3004506E+000,2.3706071E+000,9.9813733E-020,---,-4.7327020E-019,-1.0987756E-001,0.0000000E+000,0.0000000E+000,0.0000000E+000,5.2661139E-021,-8.9683102E-041,-1.0347443E-003
*,,,,Max Step,1,10,1,---,1,1,1,1,1,1,1,1
*,,,,Min Value,-1.7296400E+001,1.9002162E-001,9.9813733E-020,---,-4.7327020E-019,-1.3642542E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,5.2661139E-021,-8.9683102E-041,-1.2830402E-002
*,,,,Min Step,10,1,1,---,1,10,1,1,1,1,1,10
*,,,j-node,Step,N,SYP,SZP,T,MYP,MZP,DX,DY,DZ,SX,SY,SZ
,,,,1,-2.3161216E+000,1.8375321E-001,9.9813733E-020,---,-4.4332605E-019,-5.3811342E-002,1.5348336E-018,5.1038165E-004,9.5508916E-036,-5.1526576E-021,8.9683102E-041,8.2231298E-004
,,,,2,-4.5772920E+000,3.6753145E-001,1.4519638E-019,---,-1.2294811E-018,-1.0745122E-001,2.9637881E-018,1.0086130E-003,2.5713939E-035,-1.4140314E-020,0.0000000E+000,1.6427055E-003
,,,,3,-6.6435041E+000,5.7288885E-001,2.2425466E-019,---,-2.4730353E-018,-1.6656584E-001,4.6574404E-018,1.4637377E-003,5.2897246E-035,-2.8365416E-020,-2.8698593E-039,2.5498568E-003
,,,,4,-8.6875048E+000,7.7939469E-001,3.1811293E-019,---,-4.3682403E-018,-2.2628328E-001,6.5628510E-018,1.9139511E-003,8.8162076E-035,-5.0014532E-020,-1.4349296E-039,3.4651659E-003
,,,,5,-1.0544785E+001,1.0039573E+000,4.7199924E-019,---,-7.2231876E-018,-2.9065737E-001,8.0447450E-018,2.3228790E-003,1.5869174E-034,-8.2641075E-020,3.1568452E-038,4.4539306E-003
,,,,6,-1.2365550E+001,1.2253034E+000,6.6843168E-019,---,-1.1556080E-017,-3.5394475E-001,1.0161914E-017,2.7237331E-003,2.4097634E-034,-1.3211551E-019,-8.0356059E-038,5.4266875E-003
,,,,7,-1.3899021E+001,1.4685395E+000,1.0169947E-018,---,-1.8262098E-017,-4.2282465E-001,1.2702599E-017,3.0610640E-003,3.7615819E-034,-2.0873772E-019,2.2958874E-038,6.4878950E-003
,,,,8,-1.5283538E+001,1.7356045E+000,1.5732784E-018,---,-2.8983575E-017,-4.9792880E-001,1.3972735E-017,3.3654599E-003,5.8774718E-034,-3.3123896E-019,-1.6071212E-037,7.6469378E-003
,,,,9,-1.6549599E+001,2.0139363E+000,2.4110044E-018,---,-4.6670635E-017,-5.7884735E-001,1.6089904E-017,3.6436643E-003,9.4039548E-034,-5.3323655E-019,4.1325973E-037,8.8848792E-003
,,,,10,-1.7453110E+001,2.3079231E+000,3.9455684E-018,---,-7.7062118E-017,-6.6247469E-001,1.7783556E-017,3.8417056E-003,1.5986723E-033,-8.8043491E-019,-4.5917748E-037,1.0171405E-002
*,,,,Max Value,-2.3161216E+000,2.3079231E+000,9.9813733E-020,---,-4.4332605E-019,-5.3811342E-002,1.5348336E-018,3.8417056E-003,9.5508916E-036,-5.1526576E-021,8.9683102E-041,1.0171405E-002
*,,,,Max Step,1,10,1,---,1,1,1,10,1,1,1,10
*,,,,Min Value,-1.7453110E+001,1.8375321E-001,9.9813733E-020,---,-4.4332605E-019,-6.6247469E-001,1.5348336E-018,5.1038165E-004,9.5508916E-036,-5.1526576E-021,8.9683102E-041,8.2231298E-004
*,,,,Min Step,10,1,1,---,1,10,1,1,1,1,1,1
*,Element,Name,HçY1-033
*,,LoadSet,i-node,Step,N,SYP,SZP,T,MYP,MZP,DX,DY,DZ,SX,SY,SZ
,,,,1,-2.3161027E+000,1.4562675E-001,1.0896069E-019,---,-4.6710641E-019,-5.3821187E-002,0.0000000E+000,0.0000000E+000,0.0000000E+000,5.1856541E-021,1.3452465E-040,-4.4802516E-004
,,,,2,-4.5772729E+000,2.9124948E-001,1.5532353E-019,---,-1.2562101E-018,-1.0747072E-001,0.0000000E+000,0.0000000E+000,0.0000000E+000,1.4102542E-020,1.7936620E-040,-8.9410372E-004
,,,,3,-6.6434813E+000,4.5316112E-001,2.3691776E-019,---,-2.5082383E-018,-1.6659786E-001,0.0000000E+000,0.0000000E+000,0.0000000E+000,2.8241356E-020,1.4349296E-039,-1.3839298E-003
,,,,4,-8.6874819E+000,6.1599439E-001,3.3269747E-019,---,-4.4097462E-018,-2.2632529E-001,0.0000000E+000,0.0000000E+000,0.0000000E+000,4.9746556E-020,2.1523944E-039,-1.8795319E-003
,,,,5,-1.0544759E+001,7.9247260E-001,4.9098329E-019,---,-7.2795525E-018,-2.9071325E-001,0.0000000E+000,0.0000000E+000,0.0000000E+000,8.2187164E-020,4.3047889E-039,-2.4125991E-003
,,,,6,-1.2365525E+001,9.6648049E-001,6.9132555E-019,---,-1.1625524E-017,-3.5400942E-001,0.0000000E+000,0.0000000E+000,0.0000000E+000,1.3135925E-019,-4.8787607E-038,-2.9360642E-003
,,,,7,-1.3898992E+001,1.1570212E+000,1.0513270E-018,---,-1.8367367E-017,-4.2290515E-001,0.0000000E+000,0.0000000E+000,0.0000000E+000,2.0758326E-019,-1.2053409E-037,-3.5043861E-003
,,,,8,-1.5283503E+001,1.3655759E+000,1.6271474E-018,---,-2.9147704E-017,-4.9802661E-001,0.0000000E+000,0.0000000E+000,0.0000000E+000,3.2946673E-019,-1.8367099E-037,-4.1229982E-003
,,,,9,-1.6549562E+001,1.5831158E+000,2.4982327E-018,---,-4.6910898E-017,-5.7895589E-001,0.0000000E+000,0.0000000E+000,0.0000000E+000,5.3038736E-019,4.1325973E-037,-4.7974136E-003
,,,,10,-1.7453072E+001,1.8122611E+000,4.0911092E-018,---,-7.7463823E-017,-6.6259724E-001,0.0000000E+000,0.0000000E+000,0.0000000E+000,8.7586593E-019,-2.2958874E-037,-5.4894649E-003
