,,ç≈ëÂê‚ëŒíl,
óvëfñº,N,SYP,MZP
HçY3-039,-3.2461925E+000,8.0273367E-002,8.1066972E-001
HçY3-040,-3.3402364E+000,2.3320012E-001,7.9598123E-001
HçY3-041,-3.4342742E+000,3.4229404E-001,7.3541623E-001
HçY3-042,-3.5409582E+000,3.9095515E-001,6.4212453E-001
HçY3-043,-3.6506600E+000,3.9660043E-001,5.3423607E-001
HçY3-044,-3.7603593E+000,3.7377536E-001,4.2465547E-001
HçY3-045,-3.8700571E+000,3.3408803E-001,3.2192358E-001
HçY3-046,-3.9797542E+000,2.8637937E-001,2.3109889E-001
HçY3-047,-4.0894513E+000,2.3703440E-001,1.5458758E-001
HçY3-048,-4.1991482E+000,1.9036226E-001,9.2880361E-002
HçY3-049,-4.3088455E+000,1.4899243E-001,4.5175154E-002
HçY3-050,-4.5282397E+000,1.1425140E-001,-1.4991684E-002
HçY3-051,-4.6379371E+000,8.6497918E-002,-3.1537287E-002
HçY3-052,-4.7476344E+000,6.5405592E-002,-4.1755218E-002
HçY3-053,-4.8573318E+000,5.0189450E-002,-4.7408409E-002
HçY3-054,-4.9952197E+000,3.9778914E-002,-4.9938604E-002
HçY3-055,-5.1362591E+000,3.2943200E-002,-5.0418280E-002
HçY3-056,-5.1362591E+000,-3.4306284E-002,-5.0417848E-002
HçY3-057,-5.2772985E+000,-3.7921824E-002,-4.9528390E-002
HçY3-058,-5.4183378E+000,-4.1885316E-002,-4.7554512E-002
HçY3-059,-5.5593772E+000,-4.7440391E-002,-4.4391822E-002
HçY3-060,-5.7004166E+000,-5.5742510E-002,-3.9562836E-002
HçY3-061,-5.8414559E+000,-6.7812108E-002,-3.2243419E-002
HçY3-062,-5.9824953E+000,-8.4465489E-002,-2.1303281E-002
HçY3-063,-6.1235347E+000,-6.3999146E-002,-5.3672250E-003
HçY3-064,-6.4056134E+000,-4.6146214E-002,8.8701341E-003
HçY3-065,-6.4056139E+000,3.1846125E-002,8.8691423E-003
HçY3-066,-6.5466533E+000,4.4740267E-002,8.7169623E-003
HçY3-067,-6.6876926E+000,4.4901989E-002,4.6964632E-003
å„Ê‰-íÜ,2.5949781E+001,1.4846162E+002,-6.2059307E+001
